player_name,team_abbreviation,age,player_height,player_weight,college,country
Randy Livingston,HOU,22,193.04,94.800728,Louisiana State,USA
Gaylon Nickerson,WAS,28,190.5,86.18248,Northwestern Oklahoma,USA
George Lynch,VAN,26,203.2,103.418976,North Carolina,USA
George McCloud,LAL,30,203.2,102.0582,Florida State,USA
George Zidek,DEN,23,213.36,119.748288,UCLA,USA
Gerald Wilkins,ORL,33,198.12,102.0582,Tennessee-Chattanooga,USA
Gheorghe Muresan,WAS,26,231.14,137.438376,None,USA
Glen Rice,CHH,30,203.2,99.79024,Michigan,USA
Glenn Robinson,MIL,24,200.66,106.59412,Purdue,USA
Grant Hill,DET,24,203.2,102.0582,Duke,USA
Gary Trent,POR,22,203.2,113.398,Ohio,USA
Grant Long,DET,31,205.74,112.490816,Eastern Michigan,USA
Greg Anthony,VAN,29,185.42,81.64656,Nevada-Las Vegas,USA
Greg Dreiling,DAL,33,215.9,120.20188,Kansas,USA
Greg Foster,UTA,28,210.82,113.398,Texas-El Paso,USA
Greg Graham,SEA,26,193.04,82.553744,Indiana,USA
Greg Minor,BOS,25,198.12,95.25432,Louisville,USA
Greg Ostertag,UTA,24,218.44,127.00576,Kansas,USA
Hakeem Olajuwon,HOU,34,213.36,115.66596,Houston,Nigeria
Harvey Grant,WAS,31,205.74,102.0582,Oklahoma,USA
Haywoode Workman,IND,31,187.96,81.64656,Oral Roberts,USA
Greg Anderson,SAS,33,208.28,113.398,Houston,USA
Gary Payton,SEA,28,193.04,86.18248,Oregon State,USA
Gary Grant,MIA,32,190.5,83.91452,Michigan,USA
Fred Roberts,DAL,36,208.28,98.883056,Brigham Young,USA
Eldridge Recasner,ATL,29,193.04,86.18248,Washington,USA
Elliot Perry,MIL,28,182.88,72.57472,Memphis,USA
Elmer Bennett,DEN,27,182.88,77.11064,Notre Dame,USA
Elmore Spencer,SEA,27,213.36,122.46984,Nevada-Las Vegas,USA
Emanual Davis,HOU,28,195.58,87.996848,Delaware State,USA
Ennis Whatley,POR,34,190.5,80.285784,Alabama,USA
Eric Leckner,VAN,31,210.82,120.20188,Wyoming,USA
Eric Mobley,VAN,27,210.82,106.59412,Pittsburgh,USA
Eric Montross,NJN,25,213.36,122.46984,North Carolina,USA
Eric Murdock,DEN,29,185.42,86.18248,Providence,USA
Eric Piatkowski,LAC,26,200.66,97.52228,Nebraska,USA
Eric Snow,SEA,24,190.5,90.7184,Michigan State,USA
Eric Williams,BOS,24,203.2,99.79024,Providence,USA
Erick Dampier,IND,21,210.82,120.20188,Mississippi State,USA
Erick Strickland,DAL,23,190.5,95.25432,Nebraska,USA
Ervin Johnson,DEN,29,210.82,111.13004,New Orleans,USA
Evric Gray,NJN,27,200.66,106.59412,Nevada-Las Vegas,USA
Felton Spencer,GSW,29,213.36,127.00576,Louisville,USA
Frank Brickowski,BOS,37,205.74,108.86208,Penn State,USA
Frankie King,PHI,25,185.42,83.91452,Western Carolina,USA
Fred Hoiberg,IND,24,193.04,92.079176,Iowa State,USA
Henry James,ATL,31,203.2,99.79024,St. Mary's (TX),USA
Elden Campbell,LAL,28,213.36,113.398,Clemson,USA
Herb Williams,NYK,39,210.82,117.93392,Ohio State,USA
Horace Grant,ORL,31,208.28,111.13004,Clemson,USA
Jerome Williams,DET,24,205.74,93.439952,Georgetown,USA
Jerry Stackhouse,PHI,22,198.12,98.883056,North Carolina,USA
Jim Jackson,NJN,26,198.12,97.52228,Ohio State,USA
Jim McIlvaine,SEA,24,215.9,117.93392,Marquette,USA
Jimmy Carruth,MIL,27,208.28,120.20188,Virginia Tech,USA
Jimmy King,DEN,23,195.58,95.25432,Michigan,USA
Jimmy Oliver,TOR,27,195.58,92.98636,Purdue,USA
Joe Courtney,SAS,27,203.2,106.59412,Southern Mississippi,USA
Joe Dumars,DET,34,190.5,88.45044,McNeese State,USA
Jerome Kersey,LAL,35,200.66,108.86208,Longwood,USA
Joe Kleine,NJN,35,213.36,122.923432,Arkansas,USA
Joe Stephens,HOU,24,200.66,95.25432,Arkansas-Little Rock,USA
Joe Wolf,MIL,32,210.82,117.93392,North Carolina,USA
John Crotty,MIA,27,187.96,83.91452,Virginia,USA
John Long,TOR,40,195.58,90.7184,Detroit Mercy,USA
John Starks,NYK,31,195.58,83.91452,Oklahoma State,USA
